source_id,incident_id,source_type,source_tier,platform,source_name,original_url,archived_url,publication_date,first_collected_at,language,primary_source_status,independence_status,independent_cluster_id,cites_source_id,availability_status
SRC-00031,AHID-CN-2026-0020,other,2,维基百科,维基百科,https://zh.wikipedia.org/wiki/%E9%87%8D%E6%85%B6%E3%80%8C%E5%B1%B1%E5%A7%86%E6%89%93%E5%8C%85%E5%93%A5%E3%80%8D%E8%99%90%E7%95%9C%E4%BA%8B%E4%BB%B6%E5%8F%8A%E7%A4%BA%E5%A8%81,,,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0020-01,,available
SRC-00032,AHID-CN-2026-0020,news,2,光明网,光明网,https://m.gmw.cn/2026-06/10/content_1304490199.htm,,2026-06-10,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0020-02,,available
SRC-00033,AHID-CN-2026-0020,news,2,新浪财经,新浪财经,https://finance.sina.com.cn/wm/2026-06-10/doc-iniawicy6101485.shtml,,2026-06-10,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0020-03,,available
SRC-00034,AHID-CN-2026-0021,news,2,凤凰网,凤凰网,https://i.ifeng.com/c/8ukv2BygIRU,,,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0021-01,,unknown
SRC-00035,AHID-CN-2026-0021,news,3,搜狐,搜狐,https://m.sohu.com/a/1050278916_120094090,,,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0021-02,,available
SRC-00036,AHID-CN-2026-0022,news,3,网易,网易,https://m.163.com/dy/article/KKRV6PS40550B6IS.html,,2026-02-03,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0022-01,,available
SRC-00037,AHID-CN-2026-0022,news,2,澎湃新闻,澎湃新闻,https://m.thepaper.cn/newsDetail_forward_32522926,,,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0022-02,,available
SRC-00038,AHID-CN-2026-0023,news,2,腾讯新闻,腾讯新闻,https://news.qq.com/rain/a/20241211A06O1500,,2024-12-11,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0023-01,,available
SRC-00039,AHID-CN-2026-0023,news,2,澎湃新闻,澎湃新闻,https://m.thepaper.cn/newsDetail_forward_29615413,,,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0023-02,,available
SRC-00040,AHID-CN-2026-0024,news,2,光明网,光明网,https://m.gmw.cn/2025-05/22/content_1304042318.htm,,2025-05-22,2026-07-20,zh-Hans,unknown,dependent,CLU-AHID-CN-2026-0024-01,,available
SRC-00041,AHID-CN-2026-0024,news,3,搜狐,搜狐,https://www.sohu.com/a/897772608_162758,,,2026-07-20,zh-Hans,unknown,dependent,CLU-AHID-CN-2026-0024-01,,available
SRC-00042,AHID-CN-2026-0025,news,2,新浪财经,新浪财经,https://finance.sina.com.cn/wm/2026-01-24/doc-inhikrie2742845.shtml,,2026-01-24,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0025-01,,available
SRC-00043,AHID-CN-2026-0025,news,2,腾讯新闻,腾讯新闻,https://view.inews.qq.com/a/20260123A0854A00,,2026-01-23,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0025-02,,available
SRC-00044,AHID-CN-2026-0026,news,1,四川法治报,四川法治报,https://www.scfzbs.com/tt/202602/83207478.html,,,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0026-01,,available
SRC-00045,AHID-CN-2026-0026,news,2,新浪科技,新浪科技,https://finance.sina.com.cn/tech/digi/2026-07-01/doc-iniffyth6379540.shtml,,2026-07-01,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0026-02,,available
SRC-00046,AHID-CN-2026-0027,news,2,羊城晚报,羊城晚报,https://news.ycwb.com/ikimvkitil/content_53982739.htm,,,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0027-01,,available
SRC-00047,AHID-CN-2026-0027,news,3,网易,网易,https://m.163.com/dy/article/KMRRK76E05149PH8.html,,,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0027-02,,available
SRC-00048,AHID-CN-2026-0028,news,3,搜狐,搜狐,https://www.sohu.com/a/1010613071_161795,,2025-12-11,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0028-01,,available
SRC-00049,AHID-CN-2026-0028,news,2,界面新闻,界面新闻,https://www.jiemian.com/article/13748540.html,,2025-12-11,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0028-02,,available
SRC-00050,AHID-CN-2026-0028,other,2,百度百科,百度百科,https://baike.baidu.com/item/9%C2%B714%E5%8C%97%E4%BA%AC%E5%AE%A0%E7%89%A9%E4%B8%AD%E6%AF%92%E6%A1%88/65242193,,,,zh-Hans,unknown,,,,unknown
SRC-00051,AHID-CN-2026-0029,news,2,腾讯新闻,腾讯新闻,https://news.qq.com/rain/a/20240522A07W5Q00,,2024-05-22,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0029-01,,available
SRC-00052,AHID-CN-2026-0030,news,2,腾讯新闻,腾讯新闻,https://news.qq.com/rain/a/20230903A06QJN00,,2023-09-03,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0030-01,,available
SRC-00053,AHID-CN-2026-0031,news,2,澎湃新闻,澎湃新闻,https://www.thepaper.cn/newsDetail_forward_10709036,,2021-01-08,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0031-01,,available
SRC-00054,AHID-CN-2026-0031,news,3,网易,网易,https://www.163.com/news/article/FVRKUM020001899O.html,,,2026-07-20,zh-Hans,unknown,unknown,CLU-AHID-CN-2026-0031-02,,available
